,clust,Award?,Balance,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll
50,5,0,108137.0,6368.0,5.0,777.5,2.5,6844
51,3,0,1300.0,370.0,1.0,0.0,0.0,6868
52,2,1,118531.0,44577.0,38.0,0.0,0.0,6868
53,5,1,121395.0,4970.0,8.0,650.0,2.0,6889
54,3,0,38348.0,0.0,0.0,0.0,0.0,6861
55,3,0,14448.0,1625.0,6.0,0.0,0.0,6856
56,2,0,75971.0,34339.0,14.0,0.0,0.0,6869
57,1,1,36298.0,3100.0,5.0,600.0,2.5,6865
58,2,0,38077.0,34024.0,8.0,0.0,0.0,6837
59,0,1,95118.0,23188.0,23.0,777.5,2.5,6865
60,3,0,134457.0,15588.0,14.0,0.0,0.0,6861
61,3,0,19918.0,17601.0,11.0,0.0,0.0,6863
62,3,0,10120.0,0.0,0.0,0.0,0.0,6864
63,2,0,203218.75,28079.0,8.0,0.0,0.0,6835
64,3,0,80250.0,895.0,2.0,0.0,0.0,6833
65,1,1,53914.0,33767.0,38.0,777.5,2.5,6826
66,3,0,9375.0,1750.0,7.0,0.0,0.0,6826
67,2,0,83237.0,35287.0,18.0,0.0,0.0,6837
68,2,1,203218.75,24047.0,12.0,0.0,0.0,6826
69,3,1,47457.0,12621.0,16.0,0.0,0.0,7766
70,1,0,84409.0,15436.0,16.0,777.5,2.5,7766
71,2,0,203218.75,39787.0,13.0,0.0,0.0,7787
72,4,0,203218.75,12500.0,13.0,50.0,1.0,7801
73,1,0,12646.0,631.0,4.0,631.0,2.5,7787
74,3,0,123867.0,25308.0,17.0,0.0,0.0,7759
75,3,0,129871.0,15776.0,22.0,0.0,0.0,7752
76,3,0,109380.0,7537.0,16.0,0.0,0.0,7749
77,2,0,111157.0,32883.0,19.0,0.0,0.0,7771
78,2,1,49238.0,38037.0,18.0,0.0,0.0,7801
79,0,1,38896.0,57626.25,16.0,556.0,1.0,7771
80,2,1,4340.0,32685.0,5.0,0.0,0.0,7733
81,5,0,88443.0,1200.0,3.0,777.5,2.5,6837
82,3,0,8454.0,498.0,9.0,0.0,0.0,6821
83,3,0,61990.0,1625.0,6.0,0.0,0.0,6833
84,3,0,24093.0,1750.0,7.0,0.0,0.0,6819
85,0,1,35418.0,57626.25,18.0,777.5,2.5,6813
86,3,1,40284.0,7719.0,5.0,0.0,0.0,6827
87,5,0,203218.75,21422.0,22.0,777.5,2.5,6820
88,4,0,62553.0,7672.0,16.0,700.0,1.0,6819
89,1,1,48433.0,3500.0,4.0,500.0,1.0,6807
90,1,1,20508.0,22250.0,8.0,777.5,2.5,6794
91,1,0,2000.0,2000.0,4.0,777.5,2.5,6809
92,2,1,78629.0,36679.0,25.0,0.0,0.0,6817
93,5,1,143566.0,5000.0,5.0,777.5,2.5,6785
94,0,1,185549.0,57626.25,38.0,777.5,2.5,6778
95,3,0,16796.0,2875.0,16.0,0.0,0.0,6773
96,3,0,57346.0,5560.0,23.0,0.0,0.0,6766
97,2,0,102062.0,44247.0,16.0,0.0,0.0,6758
98,3,0,22324.0,1375.0,4.0,0.0,0.0,6753
99,2,1,64824.0,20184.0,13.0,0.0,0.0,6770
100,2,1,25076.0,57203.0,14.0,0.0,0.0,6750
101,3,1,8053.0,0.0,0.0,0.0,0.0,6750
102,3,0,35119.0,0.0,0.0,0.0,0.0,6749
103,1,1,28667.0,3861.0,7.0,777.5,2.5,6749
104,3,0,34327.0,0.0,0.0,0.0,0.0,6745
105,0,1,3734.0,57626.25,18.0,150.0,2.0,6760
106,0,1,96627.0,49059.0,26.0,777.5,2.5,6738
107,3,1,43498.0,0.0,0.0,0.0,0.0,6759
108,0,1,84674.0,46335.0,14.0,50.0,1.0,6738
109,1,1,15098.0,32917.0,26.0,550.0,2.5,6737
110,4,0,181019.0,18415.0,15.0,0.0,0.0,7714
111,5,1,203218.75,8550.0,11.0,777.5,2.5,7714
112,0,0,124198.0,57626.25,23.0,777.5,2.5,7710
113,3,1,56906.0,2015.0,13.0,0.0,0.0,7707
114,5,1,203218.75,5422.0,20.0,777.5,2.0,7700
115,2,0,67018.0,23260.0,25.0,0.0,0.0,7698
116,3,0,143967.0,7346.0,11.0,0.0,0.0,7689
117,5,1,203218.75,2500.0,3.0,777.5,2.0,7718
118,3,1,122705.0,24222.0,15.0,0.0,0.0,7682
119,3,1,16583.0,2625.0,7.0,0.0,0.0,7682
120,3,0,77540.0,1000.0,1.0,0.0,0.0,7683
121,0,1,203218.75,57626.25,38.0,777.5,2.5,7668
122,0,1,81974.0,37266.0,18.0,777.5,2.5,7661
123,2,1,47258.0,24768.0,19.0,0.0,0.0,7659
124,2,0,77699.0,42775.0,13.0,0.0,0.0,7654
125,0,1,133954.0,37670.0,18.0,777.5,2.5,7654
126,0,1,203218.75,57626.25,26.0,777.5,2.5,7652
127,0,1,203218.75,56308.0,38.0,777.5,2.5,7645
128,3,1,48333.0,10123.0,14.0,0.0,0.0,6737
129,2,1,142175.0,37461.0,22.0,0.0,0.0,6732
130,3,1,17469.0,0.0,0.0,0.0,0.0,6730
131,3,1,19823.0,1095.0,3.0,335.0,1.0,6730
132,4,1,145074.0,8000.0,4.0,0.0,0.0,6746
133,5,1,101101.0,10850.0,11.0,777.5,2.5,6725
134,3,1,125948.0,15155.0,15.0,0.0,0.0,6761
135,5,1,203218.75,19172.0,26.0,777.5,2.5,6723
136,2,0,129298.0,29099.0,15.0,0.0,0.0,6722
137,0,1,103302.0,53552.0,22.0,700.0,2.5,6718
138,3,1,160447.0,8578.0,25.0,0.0,0.0,6716
139,3,0,15472.0,3500.0,14.0,0.0,0.0,6715
140,3,0,39628.0,0.0,0.0,0.0,0.0,6711
141,3,0,6112.0,0.0,0.0,0.0,0.0,6709
142,1,0,31769.0,450.0,2.0,450.0,2.0,6707
143,2,0,126787.0,35021.0,17.0,0.0,0.0,6701
144,3,0,41547.0,16857.0,17.0,0.0,0.0,6697
145,5,1,100640.0,7600.0,8.0,777.5,2.5,6708
146,3,0,18707.0,100.0,1.0,0.0,0.0,6693
147,0,1,50593.0,57626.25,17.0,777.5,2.0,6689
148,2,0,84631.0,20415.0,17.0,0.0,0.0,6736
149,3,0,24868.0,205.0,5.0,0.0,0.0,6689
150,0,1,77097.0,42403.0,22.0,777.5,2.5,6683
151,0,1,203218.75,57626.25,18.0,777.5,2.5,7640
152,0,0,203218.75,57626.25,20.0,500.0,1.0,7640
153,3,0,87474.0,4581.0,15.0,0.0,0.0,7634
154,2,1,48707.0,37655.0,14.0,0.0,0.0,7631
155,0,0,203218.75,52574.0,21.0,500.0,1.0,7626
156,4,0,203218.75,19926.0,12.0,0.0,0.0,7624
157,3,1,44182.0,12313.0,12.0,0.0,0.0,7619
158,2,1,203218.75,57626.25,21.0,0.0,0.0,7612
159,3,0,46823.0,5860.0,12.0,0.0,0.0,7613
160,2,0,69110.0,18500.0,19.0,0.0,0.0,7598
161,0,1,120700.0,55323.0,17.0,777.5,1.0,7598
162,5,1,152945.0,18604.0,6.0,777.5,2.0,7598
163,2,1,10302.0,30298.0,19.0,0.0,0.0,7591
164,2,1,80331.0,15489.0,18.0,0.0,0.0,7634
165,3,0,69882.0,180.0,6.0,0.0,0.0,7582
166,3,0,95658.0,5269.0,18.0,0.0,0.0,7584
167,2,1,203218.75,57626.25,15.0,0.0,0.0,7582
168,2,1,203218.75,44615.0,16.0,0.0,0.0,7577
169,0,1,21694.0,45230.0,20.0,700.0,2.0,7575
170,2,1,71767.0,57626.25,13.0,0.0,0.0,7570
171,3,0,35820.0,0.0,0.0,0.0,0.0,7575
172,5,1,203218.75,23740.0,6.0,777.5,2.0,7563
173,5,1,149285.0,15656.0,13.0,777.5,2.5,7561
174,2,0,120941.0,42301.0,21.0,0.0,0.0,7588
175,0,1,203218.75,43533.0,19.0,777.5,2.5,7575
176,4,1,106961.0,7357.0,19.0,200.0,2.0,7572
177,3,1,28086.0,7368.0,12.0,0.0,0.0,7549
178,3,1,60230.0,500.0,1.0,0.0,0.0,7544
179,1,1,6663.0,1125.0,7.0,750.0,2.5,7575
180,3,0,48145.0,10735.0,27.0,0.0,0.0,7540
181,5,1,127807.0,17086.0,16.0,777.5,2.5,7537
182,3,0,32948.0,50.0,1.0,50.0,1.0,7569
183,3,1,8933.0,8860.0,14.0,0.0,0.0,7533
184,2,0,49885.0,23640.0,17.0,0.0,0.0,7533
185,3,0,89999.0,11694.0,13.0,0.0,0.0,7530
186,0,1,203218.75,57173.0,38.0,777.5,2.5,7523
187,4,0,203218.75,3250.0,8.0,0.0,0.0,7521
188,2,0,203218.75,57626.25,31.0,0.0,0.0,7514
189,3,0,72173.0,2954.0,13.0,232.0,1.0,7509
190,0,1,123516.0,57626.25,31.0,500.0,2.0,7507
191,0,1,143080.0,44373.0,38.0,777.5,2.5,7575
192,2,1,203218.75,57626.25,24.0,0.0,0.0,7500
193,3,0,52738.0,0.0,0.0,0.0,0.0,7498
194,3,1,24523.0,100.0,1.0,0.0,0.0,7493
195,4,0,134601.0,0.0,0.0,0.0,0.0,7493
196,2,1,32742.0,57626.25,26.0,0.0,0.0,7488
197,3,0,108341.0,19670.0,21.0,0.0,0.0,7488
198,3,1,8669.0,11397.0,16.0,0.0,0.0,7486
199,4,1,118940.0,36001.0,17.0,150.0,1.0,7484
200,2,1,41385.0,26948.0,14.0,0.0,0.0,7481
201,1,1,28621.0,13878.0,20.0,777.5,2.5,7479
202,3,0,16230.0,486.0,2.0,0.0,0.0,7477
203,0,1,152881.0,57626.25,18.0,500.0,1.0,7474
204,3,0,37348.0,0.0,0.0,0.0,0.0,7472
205,3,0,51468.0,2278.0,9.0,0.0,0.0,7460
206,0,1,95989.0,57626.25,30.0,777.5,2.5,7518
207,1,1,23184.0,3694.0,12.0,777.5,2.5,7467
208,3,1,27381.0,18009.0,18.0,0.0,0.0,7524
209,3,0,6854.0,0.0,0.0,0.0,0.0,7467
210,0,1,201346.0,57626.25,34.0,600.0,2.5,7463
211,3,0,31588.0,2947.0,8.0,0.0,0.0,7463
212,4,0,203218.75,4671.0,14.0,0.0,0.0,7498
213,3,1,8298.0,20087.0,15.0,0.0,0.0,7498
214,1,0,10097.0,2700.0,1.0,777.5,1.0,7498
215,3,0,114356.0,27308.0,14.0,0.0,0.0,7456
216,3,0,1344.0,1134.0,9.0,0.0,0.0,7498
217,3,0,59797.0,7069.0,4.0,0.0,0.0,7444
218,2,1,189053.0,24156.0,22.0,0.0,0.0,7439
219,2,0,143481.0,45891.0,15.0,0.0,0.0,7437
220,0,1,203218.75,57626.25,32.0,777.5,2.5,7467
221,0,1,203218.75,57626.25,35.0,550.0,2.0,7467
222,3,1,75039.0,2750.0,10.0,250.0,1.0,7435
223,3,0,20203.0,750.0,6.0,0.0,0.0,7467
224,4,0,193976.0,10849.0,14.0,0.0,0.0,7416
225,3,0,98224.0,5570.0,11.0,0.0,0.0,7467
226,3,1,117329.0,6448.0,11.0,0.0,0.0,7416
227,4,1,119239.0,36362.0,15.0,250.0,1.0,7467
228,1,0,53715.0,7164.0,15.0,300.0,2.0,7416
229,2,0,153747.0,57626.25,15.0,0.0,0.0,7409
230,3,1,133309.0,23987.0,13.0,0.0,0.0,7415
231,2,1,81380.0,56524.0,22.0,0.0,0.0,7404
232,3,0,22074.0,6039.0,15.0,0.0,0.0,7404
233,3,1,24051.0,8764.0,13.0,0.0,0.0,7395
234,3,1,11449.0,9057.0,13.0,0.0,0.0,7397
235,4,1,182317.0,19489.0,17.0,273.0,1.0,7397
236,1,0,46184.0,3125.0,12.0,500.0,1.0,7388
237,4,1,203218.75,8471.0,18.0,500.0,1.0,7406
238,0,1,30962.0,57626.25,37.0,777.5,2.5,7360
239,3,0,15525.0,3853.0,6.0,0.0,0.0,7406
240,2,0,163530.0,57626.25,25.0,0.0,0.0,7406
241,3,1,2075.0,5002.0,14.0,0.0,0.0,7374
242,2,0,203218.75,41186.0,13.0,0.0,0.0,7369
243,0,0,118934.0,57626.25,37.0,777.5,2.5,7354
244,2,1,203218.75,57626.25,22.0,0.0,0.0,7348
245,0,1,12526.0,56076.0,19.0,777.5,2.5,7375
246,5,0,176090.0,5300.0,9.0,777.5,2.5,7344
247,3,1,15221.0,4425.0,9.0,0.0,0.0,7361
248,2,1,92875.0,57626.25,14.0,0.0,0.0,7344
249,3,0,88702.0,9620.0,13.0,50.0,1.0,7406
250,3,0,62882.0,1925.0,8.0,0.0,0.0,7375
251,2,0,30015.0,5875.0,32.0,0.0,0.0,7341
252,1,0,87293.0,21584.0,17.0,777.5,2.0,7406
253,3,1,45225.0,14711.0,15.0,0.0,0.0,7339
254,3,1,96098.0,12500.0,4.0,0.0,0.0,7339
255,2,0,203218.75,57626.25,12.0,0.0,0.0,7375
256,5,0,203218.75,8534.0,14.0,777.5,2.5,7375
257,3,1,25279.0,14938.0,26.0,0.0,0.0,7327
258,4,0,198137.0,6303.0,6.0,500.0,1.0,7323
259,0,1,203218.75,57626.25,18.0,250.0,2.5,7375
260,4,0,149733.0,605.0,3.0,500.0,1.0,7323
261,3,0,70730.0,1319.0,12.0,0.0,0.0,7316
262,4,0,164613.0,11095.0,13.0,0.0,0.0,7375
263,1,0,47557.0,10267.0,18.0,200.0,2.5,7345
264,1,1,35065.0,5400.0,5.0,777.5,2.5,7311
265,2,1,105769.0,23097.0,16.0,0.0,0.0,7345
266,3,0,35900.0,0.0,0.0,0.0,0.0,7304
267,3,0,43088.0,4000.0,1.0,0.0,0.0,7345
268,0,1,58703.0,46473.0,34.0,777.5,2.5,7296
269,2,1,70354.0,57626.25,22.0,0.0,0.0,7290
270,3,1,145726.0,19019.0,15.0,0.0,0.0,7292
271,2,1,121639.0,57626.25,7.0,0.0,0.0,7288
272,2,1,70676.0,57626.25,15.0,0.0,0.0,7288
273,1,0,18263.0,2100.0,4.0,777.5,2.0,7285
274,3,0,51250.0,0.0,0.0,0.0,0.0,7283
275,5,1,203218.75,17108.0,32.0,777.5,2.5,7283
276,3,0,12895.0,0.0,0.0,0.0,0.0,7277
277,3,1,120073.0,12423.0,29.0,0.0,0.0,7276
278,3,0,2003.0,980.0,2.0,0.0,0.0,7274
279,2,1,22652.0,57626.25,14.0,0.0,0.0,7271
280,4,0,168515.0,4600.0,4.0,0.0,0.0,7269
281,0,1,44873.0,38740.0,18.0,777.5,2.0,7267
282,4,0,190542.0,8487.0,9.0,0.0,0.0,7267
283,5,1,156230.0,5300.0,8.0,777.5,2.5,7260
284,2,1,79211.0,36776.0,14.0,0.0,0.0,7260
285,0,1,98006.0,46349.0,20.0,777.5,2.5,7332
286,2,1,33982.0,57626.25,17.0,0.0,0.0,7255
287,3,0,62998.0,11326.0,24.0,0.0,0.0,7253
288,2,1,137908.0,57626.25,19.0,0.0,0.0,7250
289,2,0,45586.0,37459.0,15.0,0.0,0.0,7246
290,0,1,203218.75,57626.25,16.0,777.5,2.0,7243
291,0,1,145993.0,57626.25,17.0,500.0,1.0,7229
292,2,1,203218.75,57626.25,20.0,0.0,0.0,7279
293,3,0,12195.0,3875.0,17.0,0.0,0.0,7229
294,3,0,16622.0,0.0,0.0,0.0,0.0,7229
295,2,0,141813.0,39743.0,14.0,0.0,0.0,7254
296,3,1,58139.0,38408.0,16.0,150.0,1.0,7227
297,4,0,203218.75,20521.0,16.0,0.0,0.0,7220
298,0,1,149286.0,42141.0,30.0,777.5,2.5,7222
299,3,0,35945.0,0.0,0.0,0.0,0.0,7220
300,1,1,28218.0,750.0,4.0,750.0,2.5,7232
301,3,0,7061.0,7100.0,12.0,0.0,0.0,7218
302,2,1,203218.75,49198.0,20.0,0.0,0.0,7215
303,2,0,203218.75,28200.0,27.0,0.0,0.0,7213
304,3,0,125465.0,14750.0,9.0,0.0,0.0,7206
305,2,1,94222.0,52081.0,24.0,0.0,0.0,7201
306,3,0,123370.0,7478.0,16.0,0.0,0.0,7197
307,5,1,203218.75,8001.0,25.0,777.5,2.5,7326
308,3,0,112969.0,7572.0,7.0,0.0,0.0,7192
309,1,0,46430.0,2100.0,4.0,500.0,1.0,7194
310,2,0,179433.0,30476.0,15.0,0.0,0.0,7187
311,2,1,20746.0,37534.0,17.0,0.0,0.0,7185
312,2,1,61455.0,28765.0,17.0,0.0,0.0,7183
313,0,1,203218.75,57626.25,20.0,777.5,2.5,7183
314,5,1,179559.0,17819.0,12.0,777.5,2.0,7173
315,5,1,119977.0,9275.0,16.0,777.5,2.5,7226
316,3,0,16928.0,1000.0,1.0,0.0,0.0,7173
317,3,0,65316.0,3917.0,10.0,0.0,0.0,7254
318,4,1,203218.75,11398.0,3.0,398.0,1.0,7162
319,3,1,52060.0,6500.0,3.0,0.0,0.0,7162
320,2,0,84700.0,13544.0,17.0,0.0,0.0,7162
321,0,1,203218.75,32404.0,20.0,777.5,2.0,7159
322,2,1,20457.0,51399.0,16.0,0.0,0.0,7193
323,5,1,203218.75,21666.0,19.0,777.5,2.5,7155
324,3,0,50325.0,11930.0,14.0,0.0,0.0,7155
325,4,1,203218.75,258.0,2.0,258.0,2.0,7141
326,3,0,73849.0,11793.0,21.0,0.0,0.0,7250
327,0,1,203218.75,57626.25,26.0,777.5,2.5,7164
328,0,1,138999.0,57626.25,29.0,600.0,2.5,7153
329,3,0,65573.0,3875.0,23.0,0.0,0.0,7130
330,2,1,172288.0,57626.25,10.0,0.0,0.0,7130
331,3,0,47958.0,0.0,0.0,0.0,0.0,7130
332,4,0,133002.0,15672.0,21.0,150.0,1.0,7117
333,3,1,42363.0,0.0,0.0,0.0,0.0,7120
334,2,1,133370.0,44299.0,18.0,0.0,0.0,7101
335,0,1,203218.75,57313.0,27.0,777.5,2.0,7101
336,2,0,105166.0,37663.0,22.0,0.0,0.0,7120
337,3,0,34956.0,0.0,0.0,0.0,0.0,7172
338,3,0,46963.0,1500.0,5.0,0.0,0.0,7117
339,2,0,55788.0,24831.0,12.0,0.0,0.0,7314
340,0,1,174910.0,57626.25,20.0,200.0,1.0,7110
341,2,1,13812.0,15149.0,38.0,0.0,0.0,7110
342,3,0,38718.0,0.0,0.0,0.0,0.0,7314
343,3,0,112501.0,19140.0,11.0,0.0,0.0,7101
344,3,0,54005.0,1500.0,5.0,0.0,0.0,7099
345,2,1,66863.0,36532.0,9.0,0.0,0.0,7099
346,2,0,93045.0,17636.0,15.0,0.0,0.0,7092
347,2,0,197328.0,57626.25,12.0,0.0,0.0,7092
348,2,0,151301.0,37772.0,14.0,0.0,0.0,7092
349,3,1,87938.0,11268.0,2.0,0.0,0.0,7085
350,3,0,15283.0,1250.0,3.0,0.0,0.0,7132
351,2,0,105423.0,20802.0,14.0,0.0,0.0,7078
352,4,0,203218.75,100.0,1.0,100.0,1.0,7078
353,3,1,13680.0,0.0,0.0,0.0,0.0,7073
354,1,0,41279.0,14462.0,20.0,777.5,2.5,7064
355,3,0,25313.0,7491.0,13.0,0.0,0.0,7064
356,5,0,148691.0,3000.0,3.0,777.5,2.0,7064
357,0,0,203218.75,40108.0,15.0,150.0,2.0,7059
358,3,0,51088.0,0.0,0.0,0.0,0.0,7057
359,3,0,95305.0,3189.0,13.0,0.0,0.0,7054
360,1,1,22080.0,12200.0,38.0,777.5,2.5,7050
361,3,0,11660.0,140.0,1.0,0.0,0.0,7050
362,4,1,203218.75,38127.0,14.0,500.0,1.0,7047
363,3,0,16200.0,160.0,1.0,0.0,0.0,7043
364,3,0,38227.0,8612.0,13.0,0.0,0.0,7036
365,1,1,80214.0,500.0,1.0,500.0,1.0,7029
366,3,1,53985.0,1000.0,1.0,0.0,0.0,7029
367,3,0,14414.0,0.0,0.0,0.0,0.0,7024
368,3,0,44457.0,225.0,3.0,0.0,0.0,7026
369,2,1,161813.0,57626.25,20.0,0.0,0.0,7026
370,3,1,138020.0,6568.0,15.0,0.0,0.0,7024
371,0,0,107707.0,19407.0,25.0,777.5,2.5,7024
372,2,1,95656.0,57626.25,27.0,0.0,0.0,7019
373,4,0,149678.0,0.0,0.0,0.0,0.0,7022
374,3,1,15113.0,10574.0,19.0,0.0,0.0,7017
375,1,1,231.0,29900.0,24.0,777.5,2.5,7015
376,3,0,22380.0,300.0,2.0,200.0,1.0,7010
377,4,1,146263.0,20853.0,21.0,350.0,1.0,7001
378,3,0,24598.0,0.0,0.0,0.0,0.0,7040
379,2,0,76150.0,36907.0,17.0,0.0,0.0,6998
380,0,1,203218.75,57626.25,30.0,777.5,2.5,6996
381,4,0,167670.0,15907.0,13.0,0.0,0.0,6994
382,0,0,86853.0,42293.0,21.0,500.0,1.0,6980
383,0,0,203218.75,57626.25,26.0,777.5,2.5,6980
384,2,1,28193.0,57626.25,32.0,0.0,0.0,6980
385,2,0,67086.0,18157.0,16.0,0.0,0.0,6974
386,3,0,35969.0,11665.0,21.0,0.0,0.0,6977
387,2,1,53790.0,28717.0,19.0,0.0,0.0,8296
388,4,0,198859.0,17855.0,14.0,500.0,1.0,8296
389,3,0,91939.0,1244.0,8.0,0.0,0.0,8296
390,1,0,88449.0,11402.0,18.0,777.5,2.5,8296
391,2,1,54842.0,20792.0,15.0,0.0,0.0,8296
392,3,1,11189.0,9044.0,20.0,0.0,0.0,8296
393,3,0,16999.0,140.0,1.0,0.0,0.0,8296
394,3,0,114713.0,7142.0,18.0,0.0,0.0,8296
395,3,0,1612.0,955.0,9.0,0.0,0.0,8296
396,3,0,97763.0,2000.0,9.0,0.0,0.0,8296
397,3,0,15129.0,0.0,0.0,0.0,0.0,8296
398,3,0,15669.0,1205.0,4.0,0.0,0.0,8296
399,3,0,26720.0,913.0,3.0,0.0,0.0,8296
400,4,0,203218.75,5471.0,13.0,0.0,0.0,8296
401,1,0,56635.0,1024.0,8.0,359.0,2.0,8296
402,3,0,127297.0,8510.0,12.0,0.0,0.0,8296
403,3,0,8927.0,0.0,0.0,0.0,0.0,8296
404,0,1,203218.75,57626.25,32.0,777.5,2.5,8296
405,2,1,145723.0,57626.25,16.0,0.0,0.0,8296
406,3,0,6458.0,0.0,0.0,0.0,0.0,8296
407,4,1,203218.75,6000.0,3.0,0.0,0.0,8296
408,3,0,5581.0,0.0,0.0,0.0,0.0,8296
409,3,0,10732.0,1296.0,6.0,0.0,0.0,8296
410,5,1,203218.75,25395.0,38.0,777.5,2.5,8296
411,2,0,68963.0,37723.0,15.0,0.0,0.0,8296
412,0,1,109640.0,57626.25,38.0,777.5,2.5,8296
413,0,1,203218.75,57626.25,16.0,200.0,2.0,8296
414,3,0,58452.0,0.0,0.0,0.0,0.0,8296
415,3,1,109087.0,10462.0,16.0,0.0,0.0,8296
416,2,1,68286.0,22831.0,13.0,0.0,0.0,8296
417,3,1,68464.0,240.0,3.0,0.0,0.0,8296
418,3,0,131960.0,16081.0,8.0,0.0,0.0,8296
419,4,0,199956.0,0.0,0.0,0.0,0.0,8296
420,5,1,203218.75,23866.0,26.0,777.5,2.5,8296
421,3,0,23529.0,500.0,1.0,0.0,0.0,8296
422,4,0,190295.0,3501.0,15.0,0.0,0.0,8296
423,0,1,21083.0,57626.25,16.0,777.5,2.0,8296
424,2,1,117860.0,57626.25,15.0,0.0,0.0,8296
425,4,1,118844.0,28731.0,17.0,400.0,2.0,8289
426,3,0,60493.0,9000.0,1.0,0.0,0.0,8289
427,0,1,203218.75,57626.25,23.0,700.0,2.0,8289
428,1,0,87692.0,2310.0,6.0,500.0,1.0,8289
429,2,0,78028.0,36269.0,24.0,0.0,0.0,8289
430,4,1,203218.75,0.0,0.0,0.0,0.0,8289
431,3,1,17575.0,0.0,0.0,0.0,0.0,8289
432,3,1,50431.0,1000.0,1.0,0.0,0.0,8289
433,2,0,153597.0,56567.0,18.0,0.0,0.0,8289
434,1,1,74579.0,4600.0,11.0,600.0,2.5,8289
435,3,0,2494.0,0.0,0.0,0.0,0.0,8289
436,2,0,96031.0,46588.0,21.0,0.0,0.0,8289
437,0,1,203218.75,57626.25,28.0,777.5,2.5,8289
438,2,1,50052.0,49383.0,13.0,0.0,0.0,8289
439,3,0,13381.0,1000.0,8.0,0.0,0.0,8289
440,3,0,25123.0,2030.0,6.0,0.0,0.0,8289
441,4,1,132555.0,24775.0,31.0,350.0,1.0,8289
442,1,0,14528.0,6000.0,7.0,777.5,2.5,8289
443,3,0,24038.0,6290.0,14.0,0.0,0.0,8289
444,0,1,192104.0,39010.0,38.0,777.5,2.5,8289
445,5,1,106773.0,12900.0,10.0,777.5,2.5,8289
446,4,1,203218.75,22873.0,13.0,0.0,0.0,8289
447,3,0,14732.0,100.0,1.0,0.0,0.0,8289
448,4,0,203218.75,23608.0,16.0,500.0,1.0,8289
449,1,0,11431.0,1759.0,4.0,759.0,2.5,8289
