,clust,Award?,Balance,Qual_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll
60,0,0,134457,0,15588,14,0,0,6861
61,0,0,19918,0,17601,11,0,0,6863
62,1,0,10120,0,0,0,0,0,6864
63,0,0,362642,0,28079,8,0,0,6835
64,1,0,80250,0,895,2,0,0,6833
65,2,1,53914,0,33767,45,5550,29,6826
66,1,0,9375,0,1750,7,0,0,6826
67,0,0,83237,0,35287,18,0,0,6837
68,0,1,230715,0,24047,12,0,0,6826
69,0,1,47457,0,12621,16,0,0,7766
70,3,0,84409,5031,15436,16,1150,4,7766
71,0,0,252386,0,39787,13,0,0,7787
72,0,0,550367,0,12500,13,50,1,7801
73,1,0,12646,0,631,4,631,4,7787
74,0,0,123867,0,25308,17,0,0,7759
75,0,0,129871,0,15776,22,0,0,7752
76,0,0,109380,0,7537,16,0,0,7749
77,0,0,111157,0,32883,19,0,0,7771
78,0,1,49238,0,38037,18,0,0,7801
79,4,1,38896,0,76988,16,556,1,7771
80,1,1,4340,0,32685,5,0,0,7733
81,1,0,88443,0,1200,3,1200,3,6837
82,1,0,8454,0,498,9,0,0,6821
83,1,0,61990,0,1625,6,0,0,6833
84,1,0,24093,0,1750,7,0,0,6819
85,4,1,35418,0,58557,18,900,3,6813
86,1,1,40284,0,7719,5,0,0,6827
87,4,0,609477,0,21422,22,1200,8,6820
88,0,0,62553,0,7672,16,700,1,6819
89,1,1,48433,0,3500,4,500,1,6807
90,1,1,20508,0,22250,8,1250,5,6794
91,1,0,2000,0,2000,4,2000,4,6809
92,0,1,78629,0,36679,25,0,0,6817
93,1,1,143566,0,5000,5,1500,3,6785
94,2,1,185549,0,110859,39,2950,16,6778
95,0,0,16796,0,2875,16,0,0,6773
96,0,0,57346,0,5560,23,0,0,6766
97,0,0,102062,0,44247,16,0,0,6758
98,1,0,22324,0,1375,4,0,0,6753
99,0,1,64824,0,20184,13,0,0,6770
100,4,1,25076,1182,57203,14,0,0,6750
101,1,1,8053,0,0,0,0,0,6750
102,1,0,35119,0,0,0,0,0,6749
103,1,1,28667,0,3861,7,2050,5,6749
104,1,0,34327,0,0,0,0,0,6745
105,4,1,3734,0,61096,18,150,2,6760
106,4,1,96627,1182,49059,26,2300,9,6738
107,1,1,43498,0,0,0,0,0,6759
108,0,1,84674,0,46335,14,50,1,6738
109,0,1,15098,0,32917,26,550,3,6737
110,0,0,181019,0,18415,15,0,0,7714
111,0,1,298911,0,8550,11,2550,8,7714
112,4,0,124198,0,66330,23,4833,10,7710
113,0,1,56906,0,2015,13,0,0,7707
114,0,1,295638,0,5422,20,818,2,7700
115,0,0,67018,0,23260,25,0,0,7698
116,0,0,143967,0,7346,11,0,0,7689
117,1,1,969559,0,2500,3,1000,2,7718
118,0,1,122705,0,24222,15,0,0,7682
119,1,1,16583,0,2625,7,0,0,7682
120,1,0,77540,0,1000,1,0,0,7683
121,4,1,205126,0,126630,45,2250,10,7668
122,0,1,81974,0,37266,18,1050,3,7661
123,0,1,47258,0,24768,19,0,0,7659
124,0,0,77699,0,42775,13,0,0,7654
125,0,1,133954,500,37670,18,1500,3,7654
126,4,1,602064,0,194753,26,2250,10,7652
127,2,1,213150,0,56308,41,5200,14,7645
128,0,1,48333,0,10123,14,0,0,6737
129,0,1,142175,0,37461,22,0,0,6732
130,1,1,17469,0,0,0,0,0,6730
131,1,1,19823,0,1095,3,335,1,6730
132,1,1,145074,0,8000,4,0,0,6746
133,0,1,101101,0,10850,11,1850,6,6725
134,0,1,125948,0,15155,15,0,0,6761
135,2,1,259484,1776,19172,26,7172,23,6723
136,0,0,129298,0,29099,15,0,0,6722
137,4,1,103302,0,53552,22,700,3,6718
138,0,1,160447,0,8578,25,0,0,6716
139,0,0,15472,0,3500,14,0,0,6715
140,1,0,39628,0,0,0,0,0,6711
141,1,0,6112,0,0,0,0,0,6709
142,1,0,31769,0,450,2,450,2,6707
143,0,0,126787,0,35021,17,0,0,6701
144,0,0,41547,0,16857,17,0,0,6697
145,1,1,100640,0,7600,8,1600,5,6708
146,1,0,18707,0,100,1,0,0,6693
147,4,1,50593,0,58208,17,1500,2,6689
148,0,0,84631,0,20415,17,0,0,6736
149,1,0,24868,0,205,5,0,0,6689
150,4,1,77097,0,42403,22,1718,4,6683
151,4,1,930410,0,211284,18,2250,6,7640
152,4,0,298121,0,60808,20,500,1,7640
153,0,0,87474,0,4581,15,0,0,7634
154,0,1,48707,0,37655,14,0,0,7631
155,4,0,220081,0,52574,21,500,1,7626
156,0,0,212976,0,19926,12,0,0,7624
157,0,1,44182,0,12313,12,0,0,7619
158,4,1,228829,0,59852,21,0,0,7612
159,0,0,46823,0,5860,12,0,0,7613
160,0,0,69110,0,18500,19,0,0,7598
161,4,1,120700,0,55323,17,1500,1,7598
162,1,1,152945,0,18604,6,3604,2,7598
163,0,1,10302,0,30298,19,0,0,7591
164,0,1,80331,0,15489,18,0,0,7634
165,1,0,69882,0,180,6,0,0,7582
166,0,0,95658,0,5269,18,0,0,7584
167,4,1,402874,0,74800,15,0,0,7582
168,4,1,370941,0,44615,16,0,0,7577
169,0,1,21694,0,45230,20,700,2,7575
170,4,1,71767,0,67335,13,0,0,7570
171,1,0,35820,0,0,0,0,0,7575
172,0,1,352508,0,23740,6,1000,2,7563
173,0,1,149285,0,15656,13,3250,6,7561
174,4,0,120941,0,42301,21,0,0,7588
175,4,1,451673,0,43533,19,900,4,7575
176,0,1,106961,0,7357,19,200,2,7572
177,0,1,28086,1745,7368,12,0,0,7549
178,1,1,60230,0,500,1,0,0,7544
179,1,1,6663,0,1125,7,750,4,7575
180,0,0,48145,0,10735,27,0,0,7540
181,0,1,127807,0,17086,16,1500,3,7537
182,1,0,32948,0,50,1,50,1,7569
183,0,1,8933,0,8860,14,0,0,7533
184,0,0,49885,0,23640,17,0,0,7533
185,0,0,89999,0,11694,13,0,0,7530
186,2,1,707079,0,57173,40,3450,12,7523
187,1,0,211595,0,3250,8,0,0,7521
188,4,0,410795,0,73679,31,0,0,7514
189,0,0,72173,0,2954,13,232,1,7509
190,4,1,123516,0,240544,31,500,2,7507
191,2,1,143080,733,44373,38,3928,17,7575
192,4,1,386061,0,107813,24,0,0,7500
193,1,0,52738,2398,0,0,0,0,7498
194,1,1,24523,0,100,1,0,0,7493
195,1,0,134601,0,0,0,0,0,7493
196,4,1,32742,0,61857,26,0,0,7488
197,0,0,108341,0,19670,21,0,0,7488
198,0,1,8669,0,11397,16,0,0,7486
199,0,1,118940,0,36001,17,150,1,7484
200,0,1,41385,0,26948,14,0,0,7481
201,0,1,28621,0,13878,20,1400,10,7479
202,1,0,16230,0,486,2,0,0,7477
203,4,1,152881,0,79687,18,500,1,7474
204,1,0,37348,0,0,0,0,0,7472
205,1,0,51468,0,2278,9,0,0,7460
206,4,1,95989,0,92159,30,1329,4,7518
207,0,1,23184,1250,3694,12,1150,3,7467
208,0,1,27381,0,18009,18,0,0,7524
209,1,0,6854,0,0,0,0,0,7467
210,4,1,201346,0,99612,34,600,4,7463
211,1,0,31588,0,2947,8,0,0,7463
212,0,0,204582,0,4671,14,0,0,7498
213,0,1,8298,0,20087,15,0,0,7498
214,1,0,10097,0,2700,1,2700,1,7498
215,0,0,114356,0,27308,14,0,0,7456
216,1,0,1344,0,1134,9,0,0,7498
217,1,0,59797,0,7069,4,0,0,7444
218,0,1,189053,0,24156,22,0,0,7439
219,0,0,143481,0,45891,15,0,0,7437
220,4,1,1302051,2706,90653,32,3050,7,7467
221,4,1,229744,0,68754,35,550,2,7467
222,1,1,75039,0,2750,10,250,1,7435
223,1,0,20203,0,750,6,0,0,7467
224,0,0,193976,0,10849,14,0,0,7416
225,0,0,98224,0,5570,11,0,0,7467
226,0,1,117329,0,6448,11,0,0,7416
227,0,1,119239,0,36362,15,250,1,7467
228,0,0,53715,0,7164,15,300,2,7416
229,4,0,153747,0,58689,15,0,0,7409
230,0,1,133309,0,23987,13,0,0,7415
231,4,1,81380,0,56524,22,0,0,7404
232,0,0,22074,0,6039,15,0,0,7404
233,0,1,24051,0,8764,13,0,0,7395
234,0,1,11449,0,9057,13,0,0,7397
235,0,1,182317,0,19489,17,273,1,7397
236,0,0,46184,0,3125,12,500,1,7388
237,0,1,285116,0,8471,18,500,1,7406
238,2,1,30962,0,97683,37,6400,18,7360
239,1,0,15525,0,3853,6,0,0,7406
240,4,0,163530,0,88987,25,0,0,7406
241,0,1,2075,0,5002,14,0,0,7374
242,0,0,227881,0,41186,13,0,0,7369
243,2,0,118934,0,66222,37,2250,17,7354
244,4,1,468175,0,141615,22,0,0,7348
245,4,1,12526,0,56076,19,3850,11,7375
246,1,0,176090,0,5300,9,2200,6,7344
247,1,1,15221,0,4425,9,0,0,7361
248,4,1,92875,0,60990,14,0,0,7344
249,0,0,88702,0,9620,13,50,1,7406
250,1,0,62882,0,1925,8,0,0,7375
251,0,0,30015,0,5875,32,0,0,7341
252,0,0,87293,0,21584,17,1050,2,7406
253,0,1,45225,0,14711,15,0,0,7339
254,1,1,96098,0,12500,4,0,0,7339
255,4,0,236274,0,61515,12,0,0,7375
256,0,0,423540,0,8534,14,2100,9,7375
257,0,1,25279,0,14938,26,0,0,7327
258,1,0,198137,0,6303,6,500,1,7323
259,4,1,402312,0,77122,18,250,3,7375
260,1,0,149733,0,605,3,500,1,7323
261,0,0,70730,0,1319,12,0,0,7316
262,0,0,164613,0,11095,13,0,0,7375
263,0,0,47557,0,10267,18,200,3,7345
264,1,1,35065,0,5400,5,1400,3,7311
265,0,1,105769,0,23097,16,0,0,7345
266,1,0,35900,0,0,0,0,0,7304
267,1,0,43088,0,4000,1,0,0,7345
268,4,1,58703,0,46473,34,950,4,7296
269,4,1,70354,0,120907,22,0,0,7290
270,0,1,145726,0,19019,15,0,0,7292
271,4,1,121639,0,67286,7,0,0,7288
272,4,1,70676,0,74993,15,0,0,7288
273,1,0,18263,0,2100,4,1000,2,7285
274,1,0,51250,0,0,0,0,0,7283
275,2,1,1704838,0,17108,32,4823,23,7283
276,1,0,12895,0,0,0,0,0,7277
277,0,1,120073,0,12423,29,0,0,7276
278,1,0,2003,0,980,2,0,0,7274
279,4,1,22652,0,57642,14,0,0,7271
280,1,0,168515,0,4600,4,0,0,7269
281,0,1,44873,0,38740,18,850,2,7267
282,1,0,190542,1745,8487,9,0,0,7267
283,1,1,156230,0,5300,8,1300,5,7260
284,0,1,79211,0,36776,14,0,0,7260
285,4,1,98006,0,46349,20,2309,3,7332
286,4,1,33982,0,68320,17,0,0,7255
287,0,0,62998,0,11326,24,0,0,7253
288,4,1,137908,0,57713,19,0,0,7250
289,0,0,45586,0,37459,15,0,0,7246
290,4,1,568174,0,67121,16,1000,2,7243
291,4,1,145993,0,95082,17,500,1,7229
292,4,1,294881,0,84800,20,0,0,7279
293,0,0,12195,0,3875,17,0,0,7229
294,1,0,16622,0,0,0,0,0,7229
295,0,0,141813,0,39743,14,0,0,7254
296,0,1,58139,500,38408,16,150,1,7227
297,0,0,238868,0,20521,16,0,0,7220
298,2,1,149286,0,42141,30,2400,13,7222
299,1,0,35945,0,0,0,0,0,7220
300,1,1,28218,0,750,4,750,4,7232
301,0,0,7061,0,7100,12,0,0,7218
302,4,1,217846,0,49198,20,0,0,7215
303,4,0,364387,0,28200,27,0,0,7213
304,0,0,125465,0,14750,9,0,0,7206
305,4,1,94222,0,52081,24,0,0,7201
306,0,0,123370,0,7478,16,0,0,7197
307,2,1,383030,2998,8001,25,3226,15,7326
308,1,0,112969,0,7572,7,0,0,7192
309,1,0,46430,0,2100,4,500,1,7194
310,0,0,179433,0,30476,15,0,0,7187
311,0,1,20746,0,37534,17,0,0,7185
312,0,1,61455,0,28765,17,0,0,7183
313,4,1,714717,0,119162,20,1750,4,7183
314,0,1,179559,0,17819,12,1000,2,7173
315,0,1,119977,2556,9275,16,1400,4,7226
316,1,0,16928,0,1000,1,0,0,7173
317,1,0,65316,0,3917,10,0,0,7254
318,1,1,766419,0,11398,3,398,1,7162
319,1,1,52060,0,6500,3,0,0,7162
320,0,0,84700,0,13544,17,0,0,7162
321,0,1,205523,0,32404,20,1000,2,7159
322,0,1,20457,0,51399,16,0,0,7193
323,2,1,278727,0,21666,19,9166,16,7155
324,0,0,50325,0,11930,14,0,0,7155
325,1,1,455228,0,258,2,258,2,7141
326,0,0,73849,0,11793,21,0,0,7250
327,4,1,388455,0,114329,26,6078,8,7164
328,4,1,138999,0,63738,29,600,4,7153
329,0,0,65573,0,3875,23,0,0,7130
330,4,1,172288,0,66879,10,0,0,7130
331,1,0,47958,0,0,0,0,0,7130
332,0,0,133002,0,15672,21,150,1,7117
333,1,1,42363,0,0,0,0,0,7120
334,0,1,133370,0,44299,18,0,0,7101
335,3,1,278457,6727,57313,27,1000,2,7101
336,0,0,105166,1374,37663,22,0,0,7120
337,1,0,34956,0,0,0,0,0,7172
338,1,0,46963,0,1500,5,0,0,7117
339,0,0,55788,0,24831,12,0,0,7314
340,4,1,174910,0,63960,20,200,1,7110
341,0,1,13812,0,15149,39,0,0,7110
342,1,0,38718,0,0,0,0,0,7314
343,0,0,112501,0,19140,11,0,0,7101
344,1,0,54005,0,1500,5,0,0,7099
345,0,1,66863,0,36532,9,0,0,7099
346,0,0,93045,0,17636,15,0,0,7092
347,4,0,197328,0,60447,12,0,0,7092
348,0,0,151301,0,37772,14,0,0,7092
349,1,1,87938,0,11268,2,0,0,7085
350,1,0,15283,0,1250,3,0,0,7132
351,0,0,105423,0,20802,14,0,0,7078
352,1,0,312512,0,100,1,100,1,7078
353,1,1,13680,0,0,0,0,0,7073
354,0,0,41279,0,14462,20,1650,6,7064
355,0,0,25313,0,7491,13,0,0,7064
356,1,0,148691,0,3000,3,1000,2,7064
357,0,0,224081,0,40108,15,150,2,7059
358,1,0,51088,0,0,0,0,0,7057
359,0,0,95305,0,3189,13,0,0,7054
360,2,1,22080,0,12200,47,1950,9,7050
361,1,0,11660,0,140,1,0,0,7050
362,0,1,222227,0,38127,14,500,1,7047
363,1,0,16200,0,160,1,0,0,7043
364,0,0,38227,0,8612,13,0,0,7036
365,1,1,80214,0,500,1,500,1,7029
366,1,1,53985,0,1000,1,0,0,7029
367,1,0,14414,0,0,0,0,0,7024
368,1,0,44457,0,225,3,0,0,7026
369,4,1,161813,0,126941,20,0,0,7026
370,0,1,138020,0,6568,15,0,0,7024
371,2,0,107707,0,19407,25,2211,12,7024
372,4,1,95656,0,62666,27,0,0,7019
373,1,0,149678,0,0,0,0,0,7022
374,0,1,15113,0,10574,19,0,0,7017
375,2,1,231,0,29900,24,5300,15,7015
376,1,0,22380,0,300,2,200,1,7010
377,0,1,146263,0,20853,21,350,1,7001
378,1,0,24598,0,0,0,0,0,7040
379,0,0,76150,0,36907,17,0,0,6998
380,4,1,377252,0,230629,30,6393,13,6996
381,0,0,167670,0,15907,13,0,0,6994
382,0,0,86853,0,42293,21,500,1,6980
383,4,0,479989,0,66516,26,1600,6,6980
384,4,1,28193,0,103456,32,0,0,6980
385,0,0,67086,0,18157,16,0,0,6974
386,0,0,35969,0,11665,21,0,0,6977
387,0,1,53790,0,28717,19,0,0,8296
388,0,0,198859,0,17855,14,500,1,8296
389,1,0,91939,0,1244,8,0,0,8296
390,0,0,88449,0,11402,18,1450,5,8296
391,0,1,54842,0,20792,15,0,0,8296
392,0,1,11189,0,9044,20,0,0,8296
393,1,0,16999,0,140,1,0,0,8296
394,0,0,114713,0,7142,18,0,0,8296
395,1,0,1612,0,955,9,0,0,8296
396,1,0,97763,0,2000,9,0,0,8296
397,1,0,15129,0,0,0,0,0,8296
398,1,0,15669,0,1205,4,0,0,8296
399,1,0,26720,0,913,3,0,0,8296
400,0,0,205292,0,5471,13,0,0,8296
401,1,0,56635,0,1024,8,359,2,8296
402,0,0,127297,0,8510,12,0,0,8296
403,1,0,8927,0,0,0,0,0,8296
404,2,1,507506,1952,102279,32,4485,13,8296
405,4,1,145723,0,59858,16,0,0,8296
406,1,0,6458,0,0,0,0,0,8296
407,1,1,267640,0,6000,3,0,0,8296
408,1,0,5581,0,0,0,0,0,8296
409,1,0,10732,0,1296,6,0,0,8296
410,2,1,620498,0,25395,53,1750,14,8296
411,0,0,68963,0,37723,15,0,0,8296
412,2,1,109640,0,66983,38,5500,17,8296
413,4,1,225802,0,74340,16,200,2,8296
414,1,0,58452,0,0,0,0,0,8296
415,0,1,109087,0,10462,16,0,0,8296
416,0,1,68286,0,22831,13,0,0,8296
417,1,1,68464,0,240,3,0,0,8296
418,1,0,131960,2000,16081,8,0,0,8296
419,1,0,199956,1178,0,0,0,0,8296
420,3,1,529886,7210,23866,26,7741,15,8296
421,1,0,23529,0,500,1,0,0,8296
422,0,0,190295,0,3501,15,0,0,8296
423,4,1,21083,0,129330,16,1000,2,8296
424,4,1,117860,0,62758,15,0,0,8296
425,0,1,118844,0,28731,17,400,2,8289
426,1,0,60493,0,9000,1,0,0,8289
427,4,1,491987,0,68007,23,700,2,8289
428,1,0,87692,0,2310,6,500,1,8289
429,0,0,78028,0,36269,24,0,0,8289
430,1,1,251286,0,0,0,0,0,8289
431,1,1,17575,0,0,0,0,0,8289
432,1,1,50431,0,1000,1,0,0,8289
433,4,0,153597,0,56567,18,0,0,8289
434,0,1,74579,0,4600,11,600,8,8289
435,1,0,2494,0,0,0,0,0,8289
436,4,0,96031,0,46588,21,0,0,8289
437,4,1,353678,0,141230,28,1450,5,8289
438,0,1,50052,0,49383,13,0,0,8289
439,1,0,13381,0,1000,8,0,0,8289
440,1,0,25123,0,2030,6,0,0,8289
441,0,1,132555,0,24775,31,350,1,8289
442,1,0,14528,0,6000,7,3000,6,8289
443,0,0,24038,0,6290,14,0,0,8289
444,2,1,192104,0,39010,53,1750,8,8289
445,0,1,106773,0,12900,10,1400,8,8289
446,0,1,229397,0,22873,13,0,0,8289
447,1,0,14732,0,100,1,0,0,8289
448,0,0,383129,0,23608,16,500,1,8289
449,1,0,11431,0,1759,4,759,3,8289
450,0,1,175461,0,40997,14,0,0,8289
451,1,0,52953,0,500,1,0,0,8289
452,0,0,182291,0,24155,22,0,0,8289
453,4,1,198317,0,61714,16,0,0,8289
454,0,0,49053,0,6498,18,950,5,8289
455,1,0,22772,0,0,0,0,0,8289
456,0,1,34170,0,15476,20,150,1,8289
457,0,0,158483,0,9018,11,0,0,8289
458,0,1,43285,0,28613,14,0,0,8252
459,0,0,52980,0,17078,14,0,0,8237
460,0,0,74342,0,4389,12,0,0,8228
461,0,1,139849,0,19946,15,0,0,8228
462,0,1,26080,0,9872,13,0,0,8228
463,1,0,29469,0,2522,4,0,0,8228
464,0,0,189252,0,2991,15,0,0,8228
465,4,1,382546,0,136619,34,3000,6,8228
466,4,1,1113394,2015,60883,26,2600,9,8228
467,4,1,459681,0,95531,17,0,0,8228
468,0,0,83590,0,3708,22,0,0,8228
469,1,1,82528,0,2100,5,600,4,8228
470,1,0,5600,0,125,1,0,0,8228
471,2,1,743745,2066,4100,20,2500,18,8228
472,4,1,43954,0,63463,13,250,1,8228
473,0,0,52005,0,11870,15,100,1,8228
474,0,0,45494,0,5021,16,600,2,8228
475,2,1,171509,0,40090,55,6381,23,8151
476,0,0,235947,0,3982,16,0,0,8145
477,0,0,153108,0,25802,14,500,1,8137
478,0,1,260261,0,33047,21,0,0,8146
479,0,1,80223,0,21248,26,2050,7,8121
480,0,0,38716,0,8253,21,0,0,8114
481,4,0,1125076,0,23046,14,0,0,8107
482,1,1,10954,500,2500,1,0,0,8095
483,0,0,97099,0,6325,21,1700,5,8085
484,1,1,62396,2128,1250,3,0,0,8075
485,0,1,40645,0,18348,13,0,0,8067
486,4,1,82655,0,101101,19,700,2,8057
487,1,1,84035,0,4240,6,1600,4,8114
488,2,1,1199220,2919,3800,19,3300,18,8023
489,0,0,86345,0,13415,16,350,2,8009
490,1,1,2701,0,5000,10,0,0,8002
491,0,0,46874,0,9689,38,500,1,7990
492,2,1,10879,0,78186,32,3400,12,7981
493,1,0,12742,0,0,0,0,0,7966
494,0,0,122904,0,37380,21,1300,4,7956
495,1,0,10994,0,1250,3,0,0,8007
496,0,1,2318,0,8747,14,0,0,7945
497,1,1,11070,0,0,0,0,0,7939
498,1,0,21921,0,0,0,0,0,7939
499,4,1,162521,0,57354,25,0,0,8105
500,2,1,207545,0,11137,34,4387,12,8105
501,0,0,86112,0,35528,22,0,0,8105
502,1,0,18328,0,0,0,0,0,6790
503,4,0,217557,0,97584,19,550,2,6679
504,1,0,11504,0,100,1,0,0,6675
505,4,1,143200,0,79837,28,50,1,6667
506,0,0,160703,0,32560,12,0,0,6666
507,0,1,910,0,5172,13,0,0,6662
508,1,0,94105,0,100,1,0,0,6676
509,0,0,18422,0,3297,13,0,0,6653
510,4,1,889456,1024,98959,29,850,4,6652
511,2,1,9800,589,10348,34,3000,25,6651
512,4,1,148318,0,51197,22,350,2,6648
513,1,0,26149,0,5190,6,0,0,6646
514,0,0,76933,0,28075,17,0,0,6646
515,4,0,346178,0,63803,16,0,0,6645
516,0,1,22878,0,9039,32,0,0,6641
517,4,1,66741,2880,71921,30,2600,7,6638
518,0,0,134060,0,46606,13,0,0,6637
519,0,1,3305,0,31465,24,1700,10,6633
520,0,0,28930,0,8185,17,0,0,6630
521,1,0,208519,0,4040,6,450,2,6627
522,0,0,58951,0,47994,15,500,1,6625
523,1,0,25395,0,2000,1,0,0,6624
524,0,1,109248,0,6828,11,0,0,6618
525,0,0,43387,0,4942,13,0,0,6613
526,0,1,52423,0,26926,13,0,0,6611
527,0,1,26858,500,34308,17,900,3,6606
528,4,1,5410,0,45890,22,0,0,6603
529,0,1,18177,0,12040,12,0,0,6690
530,1,1,413509,0,2500,1,0,0,6598
531,2,1,98472,1776,124421,45,10250,28,6621
532,3,1,86520,3445,64450,20,1000,2,6592
533,1,0,16648,0,625,4,0,0,6588
534,4,1,267404,0,263685,51,3000,6,6584
535,0,1,31478,0,18885,18,0,0,6578
536,1,1,17445,0,4500,3,500,1,6576
537,0,1,49052,0,46718,17,0,0,6575
538,1,0,21689,0,0,0,0,0,6570
539,1,0,18302,0,2197,10,0,0,6569
540,0,0,26220,0,2775,11,0,0,6647
541,0,1,59552,0,7551,22,0,0,6473
542,1,0,34962,0,252,3,0,0,6208
543,1,0,16153,0,180,1,0,0,6491
544,1,1,28931,0,6500,4,500,1,6354
545,1,1,202636,0,19000,5,0,0,6119
546,4,1,153962,0,90992,21,0,0,6567
547,0,1,63311,0,25048,14,0,0,6634
548,1,1,8561,0,2050,8,1300,2,6675
549,2,1,256219,0,29823,33,6568,16,6561
550,0,0,122700,0,18604,13,0,0,6556
551,0,1,81419,0,7769,12,350,1,6599
552,0,0,13873,0,4833,20,0,0,6519
553,1,0,148,0,190,2,0,0,6507
554,0,1,178919,0,23387,17,0,0,6555
555,1,1,19702,0,3000,1,0,0,6554
556,1,0,18820,0,0,0,0,0,6549
557,1,1,213849,0,500,1,0,0,6549
558,1,0,28077,0,735,6,500,1,6575
559,1,0,4528,0,290,1,0,0,6565
560,0,1,40418,0,12678,12,0,0,6541
561,4,1,380930,0,22485,25,213,1,6539
562,0,1,176849,0,7700,11,950,4,6539
563,0,0,71235,0,41004,14,0,0,6535
564,4,1,76446,0,63811,17,0,0,6550
565,0,1,148915,0,23522,16,650,2,6532
566,0,0,65034,0,14331,16,800,3,6541
567,0,1,35738,0,41264,16,0,0,6526
568,1,0,313,0,1600,1,0,0,6525
569,1,0,55703,0,0,0,0,0,6520
570,1,1,11613,0,2000,1,0,0,6519
571,0,0,65672,0,29089,13,0,0,6529
572,0,0,84785,0,4570,14,0,0,6514
573,1,0,30592,862,2602,7,0,0,6512
574,4,1,99293,0,81040,23,1000,2,6508
575,1,0,51830,0,0,0,0,0,6507
576,4,1,20126,0,78999,28,800,3,6506
577,1,0,3294,0,1330,2,0,0,6498
578,1,1,11143,0,2800,6,800,5,6529
579,1,0,8250,0,250,2,0,0,6486
580,4,0,117670,0,53043,19,550,1,6505
581,0,0,49454,0,9548,22,250,1,6501
582,1,0,58421,0,1000,1,0,0,6532
583,1,0,33443,0,0,0,0,0,6476
584,1,0,13886,0,0,0,0,0,6465
585,1,0,15349,0,250,2,0,0,6457
586,1,0,78712,0,0,0,0,0,6433
587,0,0,89742,0,39073,13,0,0,6498
588,1,0,31311,0,3961,10,0,0,6494
589,3,1,133445,8264,3375,13,0,0,6492
590,0,0,136161,0,6032,15,0,0,6463
591,1,0,9998,0,0,0,0,0,6448
592,0,1,37904,0,19052,17,0,0,6487
593,1,0,41243,0,27971,7,300,1,6483
594,0,1,54011,1604,38380,20,5780,4,6487
595,1,0,5351,0,100,1,0,0,6450
596,1,0,23334,0,0,0,0,0,6441
597,1,0,11255,0,0,0,0,0,6428
598,4,1,48127,0,41447,28,0,0,6421
599,4,1,329497,0,57264,12,0,0,6484
600,0,0,158895,0,41954,15,0,0,6525
