,clust,Total Revenue,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Long Distance Charges
73,4,5581.55,Q3,Yes,1.0,39,None,Yes,33.25,Yes,Fiber Optic,26.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,4284.8,1296.75
74,4,1323.4,Q3,Yes,5.0,11,None,Yes,17.25,Yes,Fiber Optic,27.0,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.05,1133.65,189.75
75,0,233.92000000000002,Q3,Yes,1.0,3,Offer E,Yes,3.29,No,Fiber Optic,9.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,224.05,9.870000000000001
76,3,1963.17,Q3,No,0.0,21,None,Yes,34.62,No,DSL,14.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1236.15,727.02
77,0,2149.2,Q3,No,0.0,16,None,Yes,38.75,Yes,Fiber Optic,16.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,1529.2,620.0
78,4,4706.18,Q3,No,0.0,46,None,Yes,6.13,No,Fiber Optic,30.0,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,Credit Card,95.25,4424.2,281.98
79,4,7768.4400000000005,Q3,Yes,1.0,68,Offer A,Yes,24.13,Yes,Fiber Optic,24.0,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.6,6127.6,1640.84
80,0,772.11,Q3,Yes,1.0,7,Offer E,Yes,13.63,No,Fiber Optic,27.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,676.7,95.41000000000001
81,0,2024.3,Q3,Yes,1.0,15,None,Yes,45.25,Yes,Cable,22.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,1345.55,678.75
82,0,1587.88,Q3,No,0.0,16,None,Yes,19.18,Yes,Fiber Optic,22.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.6,1281.0,306.88
83,0,98.93,Q3,No,0.0,1,Offer E,Yes,29.68,No,Cable,18.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,69.25,29.68
84,3,25.2,Q3,No,0.0,1,None,No,0.0,No,Cable,5.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.2,25.2,0.0
85,0,1537.39,Q3,No,0.0,13,None,Yes,19.03,Yes,Fiber Optic,24.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,1290.0,247.39000000000001
86,0,99.26,Q3,No,0.0,1,None,Yes,20.06,No,Fiber Optic,24.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.2,79.2,20.06
87,4,3315.4700000000003,Q3,Yes,1.0,34,None,Yes,2.88,Yes,Fiber Optic,4.0,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,3217.55,97.92
88,4,493.57000000000005,Q3,No,0.0,4,None,Yes,12.68,No,Fiber Optic,10.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.8,442.85,50.72
89,0,209.39,Q3,No,0.0,2,None,Yes,19.27,Yes,Fiber Optic,18.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,170.85,38.54
90,0,1009.7,Q3,No,0.0,9,None,Yes,30.8,Yes,Fiber Optic,18.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,84.4,732.5,277.2
91,0,561.3,Q3,No,0.0,5,None,Yes,42.33,No,Fiber Optic,9.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.55,349.65,211.64999999999998
92,4,3066.91,Q3,No,0.0,22,Offer D,Yes,40.18,Yes,Fiber Optic,8.0,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,96.7,2082.95,883.96
93,0,2535.23,Q3,No,0.0,19,Offer D,Yes,39.97,Yes,Fiber Optic,9.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.2,1775.8,759.43
94,0,1842.3500000000001,Q3,No,0.0,15,Offer D,Yes,46.38,Yes,Fiber Optic,19.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.65,1146.65,695.7
95,0,86.04,Q3,No,0.0,1,None,Yes,11.34,Yes,Fiber Optic,20.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,74.7,11.34
96,3,45.8,Q3,No,0.0,1,None,No,0.0,No,DSL,26.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,25.8,25.8,0.0
97,0,1312.05,Q3,No,0.0,10,Offer D,Yes,41.37,Yes,Fiber Optic,14.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.35,898.35,413.7
98,3,227.51999999999998,Q3,No,0.0,3,None,Yes,30.14,No,DSL,6.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,45.0,127.1,90.42
99,0,1033.8400000000001,Q3,Yes,1.0,12,Offer D,Yes,6.97,No,Fiber Optic,19.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.45,950.2,83.64
100,0,178.42000000000002,Q3,No,0.0,2,None,Yes,6.51,No,Fiber Optic,11.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,165.4,13.02
101,0,148.4,Q3,No,0.0,1,None,Yes,49.6,Yes,Fiber Optic,20.0,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,88.8,49.6
102,0,1188.4599999999998,Q3,Yes,1.0,13,Offer D,Yes,1.47,No,Fiber Optic,5.0,No,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.05,1169.35,19.11
103,0,3010.51,Q3,No,0.0,23,Offer D,Yes,31.17,No,Fiber Optic,23.0,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,2293.6,716.9100000000001
104,0,2089.3900000000003,Q3,Yes,1.0,17,Offer D,Yes,36.82,Yes,Fiber Optic,6.0,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,1463.45,625.94
105,3,1466.4099999999999,Q3,No,0.0,17,None,Yes,40.93,No,DSL,2.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.05,770.6,695.81
106,0,3941.6099999999997,Q3,No,0.0,42,None,Yes,9.53,Yes,Fiber Optic,17.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.65,3541.35,400.26
107,0,121.39999999999999,Q3,No,0.0,1,None,Yes,42.3,No,Fiber Optic,16.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.1,79.1,42.3
108,0,89.93,Q3,No,0.0,1,Offer E,Yes,39.78,No,Cable,12.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,50.15,50.15,39.78
109,0,104.10999999999999,Q3,No,0.0,1,Offer E,Yes,34.51,No,Fiber Optic,15.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,69.6,34.51
110,4,5835.45,Q3,No,0.0,41,None,Yes,27.95,Yes,Fiber Optic,23.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,113.2,4689.5,1145.95
111,0,1650.7400000000002,Q3,No,0.0,13,None,Yes,26.11,No,Fiber Optic,4.0,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,90.5,1201.15,339.43
112,4,2784.16,Q3,Yes,1.0,32,None,Yes,5.99,Yes,Fiber Optic,23.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.0,2642.05,191.68
113,4,4248.3,Q3,Yes,1.0,32,None,Yes,49.6,Yes,Fiber Optic,10.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,85.3,2661.1,1587.2
114,3,2560.8799999999997,Q3,Yes,1.0,57,None,No,0.0,No,Cable,3.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,44.85,2572.95,0.0
115,0,60.38,Q3,No,0.0,1,Offer E,Yes,15.28,No,Cable,14.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.1,45.1,15.28
116,3,43.3,Q3,No,0.0,1,Offer E,No,0.0,No,DSL,26.0,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.3,43.3,0.0
117,3,3242.4500000000003,Q3,No,0.0,38,None,Yes,26.1,No,DSL,27.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,57.15,2250.65,991.8000000000001
118,4,4212.65,Q3,Yes,1.0,35,None,Yes,15.98,Yes,Cable,22.0,Yes,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,3653.35,559.3000000000001
119,3,60.34,Q3,No,0.0,1,Offer E,Yes,15.24,No,DSL,14.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,45.1,45.1,15.24
120,3,1667.0,Q3,Yes,1.0,30,None,Yes,4.65,No,DSL,29.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.4,1527.5,139.5
121,0,439.75,Q3,No,0.0,5,Offer E,Yes,12.27,No,Fiber Optic,20.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,78.95,378.4,61.349999999999994
122,0,123.72,Q3,No,0.0,1,Offer E,Yes,30.17,Yes,Fiber Optic,6.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.55,93.55,30.17
123,4,9151.29,Q3,Yes,1.0,58,None,Yes,49.38,Yes,Fiber Optic,19.0,Yes,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,108.85,6287.25,2864.04
124,0,1630.3100000000002,Q3,No,0.0,16,None,Yes,17.51,Yes,Fiber Optic,7.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.75,1350.15,280.16
125,0,102.45,Q3,No,0.0,1,Offer E,Yes,22.5,No,Fiber Optic,27.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.95,69.95,22.5
126,0,577.41,Q3,Yes,1.0,5,Offer E,Yes,47.28,Yes,Fiber Optic,11.0,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,81.0,371.65,236.4
127,0,2907.77,Q3,No,0.0,21,None,Yes,42.27,No,Fiber Optic,7.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.8,2030.3,887.6700000000001
128,4,5969.389999999999,Q3,No,0.0,43,None,Yes,31.83,No,Fiber Optic,10.0,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,108.15,4600.7,1368.6899999999998
129,4,3992.8,Q3,Yes,1.0,32,None,Yes,33.74,Yes,Fiber Optic,6.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.2,2931.0,1079.68
130,0,88.75,Q3,No,0.0,1,Offer E,Yes,18.2,No,Fiber Optic,13.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.55,70.55,18.2
131,4,3754.22,Q3,Yes,1.0,29,None,Yes,25.78,Yes,Fiber Optic,28.0,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,98.5,3004.15,747.62
